,Topology,IsBackBone,Number of Nodes,Number of Edges,Replication Average per Node,Max Replication,State Overhead,Star Probability,Where,MPINT,MPolka CRC8,MPolka CRC16,INT Clássico
118,Telecomserbia,0,6,6,1.0,1,18,0.3333333333333333,DataPlane,607,596.0,626.0,703
120,Cesnet201006,1,52,63,1.7115384615384615,16,230,0.3269230769230769,DataPlane,3461,5670.0,8322.0,9582
64,Evolink,1,37,45,1.4324324324324325,11,143,0.32432432432432434,DataPlane,4912,5820.0,7152.0,7434
182,Forthnet,1,62,62,1.7903225806451613,19,284,0.3225806451612903,DataPlane,3927,7212.0,10994.0,11911
232,Garr200404,1,22,24,1.7272727272727273,6,98,0.3181818181818182,DataPlane,1319,1620.0,2082.0,3896
94,Peer1,1,16,20,1.3125,4,58,0.3125,DataPlane,1429,1506.0,1746.0,2879
164,Rhnet,1,16,18,1.25,4,56,0.3125,DataPlane,1957,2034.0,2274.0,3082
154,Nsfnet,1,13,15,1.3076923076923077,3,47,0.3076923076923077,DataPlane,1284,1332.0,1488.0,1911
160,Garr199905,1,23,25,1.7391304347826086,6,103,0.30434782608695654,DataPlane,1374,1710.0,2216.0,4146
68,Renater2008,1,33,43,1.5454545454545454,9,135,0.30303030303030304,DataPlane,2720,3440.0,4496.0,7882
258,Renater2006,1,33,43,1.5454545454545454,9,135,0.30303030303030304,DataPlane,2720,3440.0,4496.0,7882
16,Bellsouth,1,51,66,1.6470588235294117,14,219,0.29411764705882354,DataPlane,3670,5762.0,8312.0,10446
50,Xeex,1,24,34,1.375,6,90,0.2916666666666667,DataPlane,2249,2570.0,3122.0,4488
80,Sanren,1,7,7,1.0,1,21,0.2857142857142857,DataPlane,762,750.0,792.0,906
136,Amres,0,25,24,1.4,6,95,0.28,DataPlane,2852,3144.0,3744.0,6033
168,Vinaren,1,25,26,1.6,6,105,0.28,DataPlane,1920,2280.0,2880.0,5629
200,Litnet,1,43,43,1.8372093023255813,11,201,0.27906976744186046,DataPlane,2638,4026.0,5832.0,12164
240,Cwix,1,36,41,1.5277777777777777,9,146,0.2777777777777778,DataPlane,3669,4454.0,5714.0,10110
56,Abilene,1,11,14,1.0909090909090908,2,35,0.2727272727272727,DataPlane,2350,2298.0,2408.0,2446
76,WideJpn,1,30,33,1.6666666666666667,7,130,0.26666666666666666,DataPlane,2291,2876.0,3746.0,6030
266,Spiralight,1,15,16,1.1333333333333333,3,49,0.26666666666666666,DataPlane,2050,2102.0,2312.0,2530
178,Noel,1,19,25,1.368421052631579,4,71,0.2631578947368421,DataPlane,1746,1890.0,2232.0,3738
228,Istar,1,23,23,1.608695652173913,5,97,0.2608695652173913,DataPlane,1662,1950.0,2456.0,5379
196,Geant2001,1,27,38,1.5185185185185186,6,109,0.25925925925925924,DataPlane,2522,2954.0,3656.0,6149
132,Iinet,1,31,35,1.6774193548387097,7,135,0.25806451612903225,DataPlane,2034,2694.0,3624.0,6223
6,Cesnet200603,1,39,44,1.6153846153846154,9,165,0.2564102564102564,DataPlane,2822,3902.0,5384.0,9268
262,Cesnet200511,1,39,44,1.6153846153846154,9,165,0.2564102564102564,DataPlane,2822,3902.0,5384.0,9268
176,HurricaneElectric,1,24,37,1.5833333333333333,5,100,0.25,DataPlane,1869,2186.0,2738.0,5993
48,EliBackbone,1,20,30,1.35,4,74,0.25,DataPlane,2041,2214.0,2594.0,3535
150,Quest,1,20,31,1.3,4,72,0.25,DataPlane,2441,2598.0,2978.0,4253
166,Oxford,1,20,26,1.35,4,74,0.25,DataPlane,1877,2070.0,2450.0,3275
292,HostwayInternational,1,16,21,1.25,3,56,0.25,DataPlane,1917,1986.0,2226.0,3436
212,Pern,1,127,129,1.8976377952755905,30,609,0.2440944881889764,DataPlane,8206,22422.0,38424.0,64110
316,Bren,1,37,38,1.5135135135135136,8,149,0.24324324324324326,DataPlane,3516,4476.0,5808.0,7956
268,Janetbackbone,1,29,45,1.5172413793103448,6,117,0.2413793103448276,DataPlane,2620,3156.0,3968.0,5743
86,Cudi,1,51,52,1.6862745098039216,11,223,0.23529411764705882,DataPlane,3674,5714.0,8264.0,11409
322,Ernet,1,30,32,1.6,6,126,0.23333333333333334,DataPlane,2231,2780.0,3650.0,6956
2,HiberniaCanada,1,13,14,1.3076923076923077,2,47,0.23076923076923078,DataPlane,1364,1380.0,1536.0,3030
224,Arpanet19719,1,18,22,1.2222222222222223,3,62,0.2222222222222222,DataPlane,3051,3104.0,3410.0,4065
70,GtsCzechRepublic,1,32,33,1.46875,6,126,0.21875,DataPlane,3137,3714.0,4706.0,9224
162,Sinet,1,74,76,1.7972972972972974,15,340,0.21621621621621623,DataPlane,5259,9480.0,14882.0,42075
104,SwitchL3,0,42,63,1.5714285714285714,8,174,0.21428571428571427,DataPlane,3543,4808.0,6530.0,10382
60,GtsPoland,1,33,37,1.3636363636363635,6,123,0.21212121212121213,DataPlane,4068,4688.0,5744.0,9531
218,Aarnet,1,19,24,1.3157894736842106,3,69,0.21052631578947367,DataPlane,2202,2322.0,2664.0,4758
320,Savvis,1,19,20,1.1578947368421053,3,63,0.21052631578947367,DataPlane,3702,3762.0,4104.0,4731
124,Geant2009,1,34,52,1.411764705882353,6,130,0.20588235294117646,DataPlane,3331,4080.0,5202.0,6966
110,Geant2012,1,40,61,1.475,7,158,0.2,DataPlane,3809,4938.0,6498.0,9033
284,Agis,1,25,30,1.44,4,97,0.2,DataPlane,2348,2664.0,3264.0,6367
272,HiberniaUk,1,15,15,1.1333333333333333,2,49,0.2,DataPlane,2134,2150.0,2360.0,2998
92,BtNorthAmerica,1,36,76,1.5,6,144,0.19444444444444445,DataPlane,3065,3926.0,5186.0,8788
4,Rnp,1,31,34,1.3870967741935485,5,117,0.1935483870967742,DataPlane,4482,4998.0,5928.0,7444
260,Packetexchange,1,21,27,1.3333333333333333,3,77,0.19047619047619047,DataPlane,2428,2540.0,2960.0,6751
270,Dfn,1,58,87,1.6206896551724137,10,246,0.1896551724137931,DataPlane,4951,7560.0,10866.0,18148
194,Grena,0,16,15,1.3125,2,58,0.1875,DataPlane,1649,1698.0,1938.0,4050
314,Bbnplanet,1,27,28,1.5925925925925926,4,113,0.18518518518518517,DataPlane,2058,2474.0,3176.0,7055
290,HiberniaUs,1,22,29,1.2272727272727273,3,76,0.18181818181818182,DataPlane,3043,3204.0,3666.0,5642
184,Xspedius,1,34,49,1.4411764705882353,5,132,0.17647058823529413,DataPlane,3179,3936.0,5058.0,7018
242,Abvt,1,23,31,1.2608695652173914,3,81,0.17391304347826086,DataPlane,3118,3342.0,3848.0,4763
302,York,0,23,24,1.173913043478261,3,77,0.17391304347826086,DataPlane,4270,4302.0,4808.0,7410
88,Sago,1,18,17,1.0555555555555556,2,56,0.16666666666666666,DataPlane,3547,3584.0,3890.0,4075
204,Ans,1,18,25,1.2222222222222223,2,62,0.16666666666666666,DataPlane,2207,2288.0,2594.0,3602
214,Ibm,1,18,24,1.2222222222222223,2,62,0.16666666666666666,DataPlane,2251,2336.0,2642.0,3550
246,Uunet,1,49,84,1.5714285714285714,7,203,0.16326530612244897,DataPlane,3888,5712.0,8064.0,12204
30,Renater2010,1,43,56,1.4651162790697674,6,169,0.16279069767441862,DataPlane,4606,5850.0,7656.0,12348
152,Sanet,1,43,45,1.3255813953488371,6,157,0.16279069767441862,DataPlane,6086,6810.0,8616.0,18165
248,Reuna,1,37,36,1.4594594594594594,5,145,0.16216216216216217,DataPlane,3360,4236.0,5568.0,8402
186,Canerie,1,32,41,1.53125,4,130,0.15625,DataPlane,2969,3570.0,4562.0,8491
172,Bics,1,33,48,1.4545454545454546,4,129,0.15151515151515152,DataPlane,3056,3728.0,4784.0,7731
188,CrlNetworkServices,1,33,38,1.2424242424242424,4,115,0.15151515151515152,DataPlane,5400,5936.0,6992.0,9732
236,BeyondTheNetwork,1,53,65,1.6037735849056605,7,223,0.1509433962264151,DataPlane,4808,6780.0,9536.0,21144
108,Garr200912,1,54,68,1.6666666666666667,7,234,0.14814814814814814,DataPlane,3983,6260.0,9122.0,14251
142,Garr200908,1,54,68,1.6666666666666667,7,234,0.14814814814814814,DataPlane,3979,6260.0,9122.0,14048
238,Garr201001,1,54,68,1.6666666666666667,7,234,0.14814814814814814,DataPlane,3983,6260.0,9122.0,14251
192,Integra,1,27,36,1.4814814814814814,3,107,0.14814814814814814,DataPlane,2446,2810.0,3512.0,7491
304,Garr200909,1,55,69,1.6727272727272726,7,239,0.14545454545454545,DataPlane,4038,6414.0,9384.0,14501
230,NetworkUsa,1,35,39,1.2285714285714286,4,121,0.14285714285714285,DataPlane,5674,6210.0,7400.0,9658
278,Shentel,1,28,35,1.2142857142857142,3,96,0.14285714285714285,DataPlane,5457,5742.0,6498.0,7140
74,Atmnet,1,21,22,1.1904761904761905,2,71,0.14285714285714285,DataPlane,2748,2876.0,3296.0,4476
156,Biznet,1,29,33,1.1379310344827587,3,95,0.13793103448275862,DataPlane,5184,5412.0,6224.0,8544
190,Tinet,1,53,89,1.471698113207547,6,209,0.1320754716981132,DataPlane,5488,7500.0,10256.0,14299
72,RoedunetFibre,1,48,52,1.4375,5,186,0.125,DataPlane,5377,6866.0,9122.0,17805
8,VisionNet,0,24,23,1.25,2,84,0.125,DataPlane,3401,3578.0,4130.0,7068
282,Psinet,1,24,25,1.2083333333333333,2,82,0.125,DataPlane,3897,4010.0,4562.0,9445
210,IowaStatewideFiberMap,1,33,41,1.303030303030303,3,119,0.12121212121212122,DataPlane,4452,5024.0,6080.0,10821
216,Arpanet19723,1,25,28,1.2,2,85,0.12,DataPlane,3684,3912.0,4512.0,6360
226,LambdaNet,1,42,46,1.2857142857142858,4,150,0.11904761904761904,DataPlane,7651,8360.0,10082.0,24112
34,Iris,1,51,64,1.3333333333333333,5,187,0.11764705882352941,DataPlane,5962,7778.0,10328.0,12898
98,Syringa,1,74,74,1.2837837837837838,7,264,0.10810810810810811,DataPlane,16487,19032.0,24434.0,66219
10,Darkstrand,1,28,31,1.1428571428571428,2,92,0.10714285714285714,DataPlane,4561,4878.0,5634.0,6625
126,Arpanet19728,1,29,32,1.1379310344827587,2,95,0.10344827586206896,DataPlane,5280,5556.0,6368.0,7920
146,Switch,1,74,92,1.472972972972973,6,292,0.0945945945945946,DataPlane,9107,13080.0,18482.0,37440
18,HiberniaGlobal,1,55,81,1.3454545454545455,4,203,0.09090909090909091,DataPlane,8966,10782.0,13752.0,24287
32,PionierL1,1,36,41,1.25,2,126,0.08333333333333333,DataPlane,4637,5270.0,6530.0,10044
318,Uninett2010,1,74,101,1.5,5,296,0.08108108108108109,DataPlane,6839,11208.0,16610.0,23528
78,Missouri,1,67,83,1.3582089552238805,4,249,0.07462686567164178,DataPlane,9522,12402.0,16824.0,34104
254,Columbus,1,70,85,1.3,4,252,0.07142857142857142,DataPlane,10671,13908.0,18738.0,30435
250,GtsCe,1,149,193,1.348993288590604,5,551,0.040268456375838924,DataPlane,22188,40428.0,62480.0,82732
174,UsCarrier,1,158,189,1.2848101265822784,5,564,0.0379746835443038,DataPlane,30031,49500.0,74306.0,100794
206,VtlWavenet2008,1,88,92,1.0681818181818181,2,276,0.03409090909090909,DataPlane,37213,40458.0,48114.0,60301
40,VtlWavenet2011,1,92,96,1.076086956521739,2,290,0.03260869565217391,DataPlane,34241,38046.0,46418.0,62465
